,Title,Location,Price,Room Info,Type,Places
522,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,in Gachibowli,"#7,000 Onwards","Single Room #19,000  Twin Sharing #10,000  Triple Sharing #8,000  Four Sharing #7,000","Coed#7,000 OnwardsFood IncludedBeds Available Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive  in Gachibowli Single Room #19,000  Twin Sharing #10,000  Triple Sharing #8,000  Four Sharing #7,000 Our PG is located in prime location of Gachibowli near DLF , Wipro ,Deloitte , AIG Hospital Wifi AvailableAC Not AvailableFood Available+15 More Located in Gachibowli, Hyderabad, Laxmi Kalavathi Grand Mens PG and CoLive is modern and spacious PG home is close to major educational commercial hubs in the area. This unisex PG offers all the comforts like TV, Food, Power Backup, Wi-Fi etc. The PG has strict adherence to hygiene standards and offers single, double, triple, four rooms. Please contact in case you are interested or queries. Looking forward to serving you.  Read More  View Phone No.  Contact Owner view on map",1.1 Km from Sri Gautham Grammar High School 0.4 Km from Tablespace Technologies Pvt Ltd 1.6 Km from Raidurg Metro Station
523,Le bestow coliving - Bhuvan PG/Paying Guest,in Kondapur,"#12,000 Onwards","Single Room With AC #20,000  Twin Sharing With AC #15,000  Triple Sharing With AC #12,000","Coed#12,000 OnwardsFood IncludedBeds Available Le bestow coliving - Bhuvan PG/Paying Guest  in Kondapur Single Room With AC #20,000  Twin Sharing With AC #15,000  Triple Sharing With AC #12,000 Fully Furnished Pg with all facilities Wifi AvailableAC AvailableFood Available+15 More Move into Le bestow coliving - Bhuvan, a professionally managed PG home in the Kondapur, Hyderabad. Located in a safe neighborhood, this unisex PG offers various modern amenities for your comfort, such as TV, AC, Power Backup, Wi-Fi etc. This PG has single, double, triple occupancy types. This PG is nearby major commercial and educational hubs. Please contact the seller to book this fast selling high in demand PG stay.  Read More  View Phone No.  Contact Owner view on map",0.5 Km from Sri Rama High School 1.4 Km from Kohinoor IT Park 3.3 Km from Hitech Metro Station
524,Orion Co-Living PG/Paying Guest,in Madhapur,"#14,000 Onwards","Single Room With AC #27,000  Twin Sharing With AC #14,000","Coed#14,000 OnwardsBeds Available Orion Co-Living PG/Paying Guest  in Madhapur Single Room With AC #27,000  Twin Sharing With AC #14,000 PG located near Madhapur, Hitech city, Cyber towers. Wifi AvailableAC AvailableFood Not Available+14 More Located in Madhapur, Hyderabad, Orion Co-Living is modern and spacious PG home is close to major Educational Commercial hubs in the area. This unisex PG offers all the comforts like TV, AC, Power backup, Wi-Fi etc. The PG has strict adherence to hygiene standards and offers Single, Double, Triple rooms. Please contact in case you are interested or queries. Looking forward to serving you.  Read More  View Phone No.  Contact Owner view on map",0.3 Km from Sri Venkateshwara Group Of Colleges 0.4 Km from Software Technology Parks Of India 0.2 Km from Hitech Metro Station
525,RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest,in Gachibowli,"#8,000 Onwards","Single Room With AC #20,000  Twin Sharing With AC #12,500  Triple Sharing With AC #8,500  Four Sharing With AC #8,000","Coed#8,000 OnwardsFood IncludedBeds Available RRR COMFORT STAY WOMENS separate building MENS And COLIVE separate building PG/Paying Guest  in Gachibowli Single Room With AC #20,000  Twin Sharing With AC #12,500  Triple Sharing With AC #8,500  Four Sharing With AC #8,000 AC Charges are applicable separately Wifi AvailableAC AvailableFood Available+17 More Move into RRR COMFORT STAY MENS, WOMENS AND CO LIVING, a professionally managed PG home in the Gachibowli, Hyderabad. Located in a safe neighborhood, this unisex PG offers various modern amenities for your comfort, such as AC, Food, Power Backup, Wi-Fi, TV etc. This PG has single, double, triple, four occupancy types. This PG is nearby major commercial and educational hubs. Please contact the seller to book this fast selling high in demand PG stay.  Read More  View Phone No.  Contact Owner view on map",0.8 Km from Isb (Indian School Of Business) 1.8 Km from Dlf Cybercity 4.0 Km from Raidurg Metro Station
526,Sri kanaka Durga men's PG/Paying Guest,in Madhapur,"#7,000 Onwards","Single Room #17,000  Twin Sharing #11,000  Triple Sharing #9,000  Four Sharing #7,000","Boys#7,000 OnwardsFood IncludedBeds Available Sri kanaka Durga men's PG/Paying Guest  in Madhapur Single Room #17,000  Twin Sharing #11,000  Triple Sharing #9,000  Four Sharing #7,000 Located in Hitech City madhapur Wifi AvailableAC Not AvailableFood Available+15 More Located in Madhapur, Hyderabad, Sri kanaka Durga mens pg is modern and spacious PG home is close to major educational commercial hubs in the area. This male PG offers all the comforts like Food, Power Backup, Wi-Fi, TV etc. The PG has strict adherence to hygiene standards and offers single, double, triple, four rooms. Please contact in case you are interested or queries. Looking forward to serving you.  Read More  View Phone No.  Contact Owner view on map",0.5 Km from Pioneer World School 1.7 Km from Mindspace Madhapur It Park 0.0 Km from Madhapur Metro Station
527,My Spaces Luxury Men's PG/Paying Guest,in Kondapur,"#9,500 Onwards","Single Room #22,000  Twin Sharing #12,000  Triple Sharing #9,500","Boys#9,500 OnwardsFood IncludedBeds Available My Spaces Luxury Men's PG/Paying Guest  in Kondapur Single Room #22,000  Twin Sharing #12,000  Triple Sharing #9,500 50% off on caution deposit only for July bookings. PG located in Kondapur , Near Google Campus, Genpact. Wifi AvailableAC Not AvailableFood Available+16 More Move into My Spaces Luxury Men s PG, a professionally managed PG home in the Kondapur, Hyderabad. Located in a safe neighborhood, this male PG offers various modern amenities for your comfort, such as TV, Food, Power Backup, Wi-Fi etc. This PG has single, double, triple occupancy types. This PG is nearby major commercial and educational hubs. Please contact the seller to book this fast selling high in demand PG stay.  Read More  View Phone No.  Contact Owner view on map",0.9 Km from World One School 1.9 Km from Kohinoor IT Park 2.6 Km from Miyapur Metro Station (Red Line)
528,Estay Executive Men's PG/Paying Guest,in Hitech City,"#7,500 Onwards","Single Room With AC #22,000  Twin Sharing With AC #11,500  Triple Sharing With AC #8,500  Triple Sharing With AC #8,500  Four Sharing With AC #7,500","Boys#7,500 OnwardsFood IncludedBeds Available Estay Executive Men's PG/Paying Guest  in Hitech City Single Room With AC #22,000  Twin Sharing With AC #11,500  Triple Sharing With AC #8,500  Triple Sharing With AC #8,500  Four Sharing With AC #7,500 Best PG in Hitech City, Madhapur, Cyber Towers with all modern facilities Wifi AvailableAC AvailableFood Available+14 More Located in Hitech City, Hyderabad, Estay Executive Men s PG is modern and spacious PG home is close to major educational commercial hubs in the area. This male PG offers all the comforts like TV, AC, Food, Power Backup, Wi-Fi etc. The PG has strict adherence to hygiene standards and offers single, double, triple, four rooms. Please contact in case you are interested or queries. Looking forward to serving you.  Read More  View Phone No.  Contact Owner view on map",0.6 Km from Sri Venkateshwara Group Of Colleges 0.2 Km from Cyber Gateway 0.4 Km from Hitech City Metro Station (Blue Line)
529,R3 ATMOS LIVE THE SWAG PG/Paying Guest,in Hitex Road,"#11,000 Onwards","Single Room With AC #28,000  Twin Sharing With AC #15,000  Triple Sharing With AC #11,000","Coed#11,000 OnwardsFood IncludedBeds Available R3 ATMOS LIVE THE SWAG PG/Paying Guest  in Hitex Road Single Room With AC #28,000  Twin Sharing With AC #15,000  Triple Sharing With AC #11,000  Move into R3 ATMOS LIVE THE SWAG, a professionally managed PG home in the Hitex Road, Hyderabad. Located in a safe neighborhood, this unisex PG offers various modern amenities for your comfort, such as TV, AC, Food, Power Backup, Wi-Fi etc. This PG has single, double occupancy types. This PG is nearby major commercial and educational hubs. Please contact the seller to book this fast selling high in demand PG stay.  Read More  View Phone No.  Contact Owner view on map",1.1 Km from Sarada High School 0.8 Km from Modern Profound Tech Park 1.7 Km from Hitech Metro Station
530,SVS Co living Stays PG/Paying Guest,in Kondapur,"#9,000 Onwards","Single Room With AC #18,000  Twin Sharing With AC #11,000  Triple Sharing With AC #9,000","Coed#9,000 OnwardsFood IncludedBeds Available SVS Co living Stays PG/Paying Guest  in Kondapur Single Room With AC #18,000  Twin Sharing With AC #11,000  Triple Sharing With AC #9,000  Move into SVS Co living Stays, a professionally managed PG home in the Kondapur, Hyderabad. Located in a safe neighborhood, this unisex PG offers various modern amenities for your comfort, such as TV, AC, Food, Power Backup, Wi-Fi etc. This PG has single, double, triple occupancy types. This PG is nearby major commercial and educational hubs. Please contact the seller to book this fast selling high in demand PG stay.  Read More  View Phone No.  Contact Owner view on map",0.7 Km from Sarada High School 1.4 Km from Kohinoor IT Park 2.9 Km from Miyapur Metro Station (Red Line)
531,Sasya Elite Co-Living PG/Paying Guest,in Gachibowli,"#12,500 Onwards","Single Room With AC #22,500  Twin Sharing With AC #12,500","Coed#12,500 OnwardsBeds Available 5.0 /5Overall Rating 5.0 /5 ( 2 Ratings )  Location  5.0 /5 Staff Behavior  5.0 /5 Food  4.5 /5 Cleanliness  5.0 /5 Wi-Fi Speed  5.0 /5 Sasya Elite Co-Living PG/Paying Guest  in Gachibowli Single Room With AC #22,500  Twin Sharing With AC #12,500 Rs.1500 discount for single sharing for one month Rs.750 discount for double sharing for two months Food Range 3500-4000 Wifi AvailableAC AvailableFood Not Available+15 More Move into Sasya Elite Co-Living, A professionally managed PG home in the Gachibowli, Hyderabad. Located in a safe neighborhood, This unisex PG offers various modern amenities for your comfort, such as TV, AC, Power Backup, Wi-Fi etc. This PG has Single, Double Occupancy types. This PG is nearby major commercial and educational hubs. Please contact the seller to book this fast selling high in demand PG stay.  Read More  View Phone No.  Contact Owner view on map",0.2 Km from Dr.K.S.Rao's IAS Academy 0.6 Km from Dlf Cybercity 2.3 Km from Raidurg Metro Station
532,N GRAND MEN'S PG/Paying Guest,in Kondapur,"#10,000 Onwards","Single Room #22,000  Twin Sharing #12,000  Triple Sharing #10,000","Boys#10,000 OnwardsFood IncludedBeds Available N GRAND MEN'S PG/Paying Guest  in Kondapur Single Room #22,000  Twin Sharing #12,000  Triple Sharing #10,000 Homely Food , Best PG in Kondapur Near DLF Deloitte located near Botanical Gardens. Wifi AvailableAC Not AvailableFood Available+16 More Located in Kondapur, Hyderabad, N GRAND MEN S PG is modern and spacious PG home is close to major educational commercial hubs in the area. This male PG offers all the comforts like TV, Food, Power Backup, Wi-Fi etc. The PG has strict adherence to hygiene standards and offers single, double, triple rooms. Please contact in case you are interested or queries. Looking forward to serving you.  Read More  View Phone No.  Contact Owner view on map",0.2 Km from Chirec International School 1.4 Km from DLF IT SEZ 3.3 Km from Raidurg Metro Station
533,Sugathi Hometel PG/Paying Guest For Women,in Nanakaramguda,"#7,000 Onwards","Single Room #16,000  Twin Sharing #9,000  Triple Sharing #8,500  Four Sharing #7,000","Girls#7,000 OnwardsFood IncludedBeds Available Sugathi Hometel PG/Paying Guest For Women  in Nanakaramguda Single Room #16,000  Twin Sharing #9,000  Triple Sharing #8,500  Four Sharing #7,000 Andhra Food, North and South Food Available. Wifi AvailableAC Not AvailableFood Available+15 More Move into Sugathi Hometel PG For Women, a professionally managed PG home in Nanakram Guda, Hyderabad. Located in a Safe Neighborhood, This Female PG offers Various Modern Amenities For Your Comfort, Such as TV, Food, Wi-Fi, etc. This PG has Single, Double, Triple, and Four Occupancy types. This PG is Nearby Major Commercial and Educational hubs. Please contact the seller to book this fast selling high in demand PG stay.  Read More  View Phone No.  Contact Owner view on map",0.9 Km from Isb (Indian School Of Business) 1.1 Km from Mantri Cosmos 4.8 Km from Raidurg Metro Station (Blue Line)
534,MS Comforts Women's PG/Paying Guest,in Gachibowli,"#8,000 Onwards","Single Room #18,000  Twin Sharing #10,000  Triple Sharing #9,000  Four Sharing #8,000","Girls#8,000 OnwardsFood IncludedBeds Available MS Comforts Women's PG/Paying Guest  in Gachibowli Single Room #18,000  Twin Sharing #10,000  Triple Sharing #9,000  Four Sharing #8,000 Located near to DLF in main road gachibowli. Wifi AvailableAC Not AvailableFood Available+15 More Move into MS Comforts Women s PG, a professionally managed PG home in the Gachibowli, Hyderabad. Located in a safe neighborhood, this female PG offers various modern amenities for your comfort, such as Food, Power Backup, Wi-Fi etc. This PG has single, double, triple, four occupancy types. This PG is nearby major commercial and educational hubs. Please contact the seller to book this fast selling high in demand PG stay.  Read More  View Phone No.  Contact Owner view on map",0.3 Km from Asha Kiran 0.6 Km from Dlf Cybercity 3.0 Km from Raidurg Metro Station
535,SKY LINE CO LIVING PG/Paying Guest,in Gachibowli,"#18,000 Onwards","Single Room With AC #30,000  Twin Sharing With AC #18,000","Coed#18,000 OnwardsFood IncludedBeds Available 5.0 /5Overall Rating 5.0 /5 ( 1 Ratings )  Location  5.0 /5 Staff Behavior  5.0 /5 Food  5.0 /5 Cleanliness  5.0 /5 Wi-Fi Speed  5.0 /5 SKY LINE CO LIVING PG/Paying Guest  in Gachibowli Single Room With AC #30,000  Twin Sharing With AC #18,000 Electricity bills are seperated Wifi AvailableAC AvailableFood Available+18 More Move into SKY LINE CO LIVING PG, a professionally managed PG home in the Gachibowli, Hyderabad. Located in a safe neighborhood, this unisex PG offers various modern amenities for your comfort, such as TV, AC, Food, Power Backup, Wi-Fi etc. This PG has single, double occupancy types. This PG is nearby major commercial and educational hubs. Please contact the seller to book this fast selling high in demand PG stay.  Read More  View Phone No.  Contact Owner view on map",0.9 Km from Isb (Indian School Of Business) 1.7 Km from Dlf Cybercity 4.0 Km from Raidurg Metro Station
536,Manjula Luxury PG/Paying Guest For MEN'S,in Gowlidoddy,"#8,000 Onwards","Single Room #18,000  Twin Sharing #10,000  Triple Sharing #8,000","Boys#8,000 OnwardsFood IncludedBeds Available Manjula Luxury PG/Paying Guest For MEN'S  in Gowlidoddy Single Room #18,000  Twin Sharing #10,000  Triple Sharing #8,000 AC Prices are Different , Located Near to Wipro , Cognizant , Infosys , ICICI Towers. Wifi AvailableAC Not AvailableFood Available+16 More Move into Manjula Luxury PG For Men, a professionally managed PG home in the Gowlidoddy, Hyderabad. Located in a safe neighborhood, this male PG offers various modern amenities for your comfort, such as TV, Food, Power Backup, Wi-Fi etc. This PG has single, double, triple occupancy types. This PG is nearby major commercial and educational hubs. Please contact the seller to book this fast selling high in demand PG stay.  Read More  View Phone No.  Contact Owner view on map",1.6 Km from Isb (Indian School Of Business) 1.6 Km from Kapil Towers 5.5 Km from Raidurg Metro Station
537,SVS Co living Stays PG/Paying Guest,in Kondapur,"#10,000 Onwards","Twin Sharing With AC #12,000  Triple Sharing With AC #10,000  Single Room With AC #20,000","Coed#10,000 OnwardsFood IncludedBeds Available SVS Co living Stays PG/Paying Guest  in Kondapur Twin Sharing With AC #12,000  Triple Sharing With AC #10,000  Single Room With AC #20,000  Located in Kondapur, Hyderabad, SVS Co living Stays is modern and spacious PG home is close to major educational commercial hubs in the area. This unisex PG offers all the comforts like Food, Wi-Fi, TV etc. The PG has strict adherence to hygiene standards and offers double rooms. Please contact in case you are interested or queries. Looking forward to serving you.  Read More  View Phone No.  Contact Owner view on map",0.5 Km from Sri Rama High School 1.4 Km from Kohinoor IT Park 3.3 Km from Hitech Metro Station
538,TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest,in Kondapur,"#12,000 Onwards","Single Room With AC #26,000  Twin Sharing With AC #16,000  Triple Sharing With AC #12,000","Coed#12,000 OnwardsFood IncludedBeds Available TULASI PREMIUM CO LIVING AND GUEST ROOMS PG/Paying Guest  in Kondapur Single Room With AC #26,000  Twin Sharing With AC #16,000  Triple Sharing With AC #12,000  Move into TULASI PREMIUM CO LIVING AND GUEST ROOMS, a professionally managed PG home in the Kondapur, Hyderabad. Located in a safe neighborhood, this unisex PG offers various modern amenities for your comfort, such as TV, AC, Food, Power Backup, Wi-Fi etc. This PG has single, double, triple occupancy types. This PG is nearby major commercial and educational hubs. Please contact the seller to book this fast selling high in demand PG stay.  Read More  View Phone No.  Contact Owner view on map",1.0 Km from World One School 2.0 Km from Kohinoor IT Park 2.5 Km from Miyapur Metro Station (Red Line)
539,Unique Women's PG/Paying Guest,in Gachibowli,"#9,000 Onwards","Single Room #24,000  Twin Sharing #14,000  Triple Sharing #10,000  Four Sharing #9,000","Girls#9,000 OnwardsFood IncludedBeds Available Unique Women's PG/Paying Guest  in Gachibowli Single Room #24,000  Twin Sharing #14,000  Triple Sharing #10,000  Four Sharing #9,000 We Provide best Homely Hygiene Food. Wifi AvailableAC Not AvailableFood Available+15 More Move into Unique Women s PG, a professionally managed PG home in the Telecom Nagar Gachibowli, Hyderabad. Located in a safe neighborhood, this female PG offers various modern amenities for your comfort, such as Food, Power Backup, Wi-Fi etc. This PG has single, double, triple, four occupancy types. This PG is nearby major commercial and educational hubs. Please contact the seller to book this fast selling high in demand PG stay.  Read More  View Phone No.  Contact Owner view on map",0.6 Km from Sri Vijaya Bharathi High School 0.5 Km from L&T Infocity 1.6 Km from Raidurg Metro Station (Blue Line)
540,GOPI MEN'S PG/Paying Guest,in Kondapur,"#7,000 Onwards","Single Room #20,000  Twin Sharing #10,000  Triple Sharing #8,000  Four Sharing #7,000","Boys#7,000 OnwardsFood IncludedBeds Available 5.0 /5Overall Rating 5.0 /5 ( 1 Ratings )  Location  5.0 /5 Staff Behavior  5.0 /5 Food  5.0 /5 Cleanliness  5.0 /5 Wi-Fi Speed  5.0 /5 GOPI MEN'S PG/Paying Guest  in Kondapur Single Room #20,000  Twin Sharing #10,000  Triple Sharing #8,000  Four Sharing #7,000 We Provide best Hygiene and Homely Food. Wifi AvailableAC Not AvailableFood Available+15 More Move into GOPI MEN PG, a professionally managed PG home in the Kondapur, Hyderabad. Located in a safe neighborhood, this male PG offers various modern amenities for your comfort, such as Food, Power Backup, Wi-Fi etc. This PG has single, double, triple, four occupancy types. This PG is nearby major commercial and educational hubs. Please contact the seller to book this fast selling high in demand PG stay.  Read More  View Phone No.  Contact Owner view on map",1.1 Km from World One School 1.8 Km from Prasanna Agro And Pharma Industries Pvt Ltd 2.1 Km from Miyapur Metro Station (Red Line)
541,SRI RAMA CO-LIVING PG/Paying Guest,in Kondapur,"#8,000 Onwards","Single Room #19,000  Twin Sharing #11,000  Triple Sharing #8,000","Coed#8,000 OnwardsFood IncludedBeds Available SRI RAMA CO-LIVING PG/Paying Guest  in Kondapur Single Room #19,000  Twin Sharing #11,000  Triple Sharing #8,000 AC Prices are different. Wifi AvailableAC Not AvailableFood Available+16 More Move into SRI RAMA CO-LIVING PG, a professionally managed PG home in the Kondapur, Hyderabad. Located in a safe neighborhood, this unisex PG offers various modern amenities for your comfort, such as TV, Food, Power Backup, Wi-Fi etc. This PG has single, double, triple, four occupancy types. This PG is nearby major commercial and educational hubs. Please contact the seller to book this fast selling high in demand PG stay.  Read More  View Phone No.  Contact Owner view on map",1.1 Km from World One School 2.1 Km from Kohinoor IT Park 2.5 Km from Miyapur Metro Station (Red Line)
542,ASHOK REDDY PG/Paying Guest FOR MEN,in Kondapur,"#6,499 Onwards","Twin Sharing #9,000  Triple Sharing #7,499  Four Sharing #6,499","Boys#6,499 OnwardsFood IncludedBeds Available 4.9 /5Overall Rating 4.9 /5 ( 7 Ratings )  Location  5.0 /5 Staff Behavior  4.9 /5 Food  4.6 /5 Cleanliness  5.0 /5 Wi-Fi Speed  4.4 /5 ASHOK REDDY PG/Paying Guest FOR MEN  in Kondapur Twin Sharing #9,000  Triple Sharing #7,499  Four Sharing #6,499 Near rto office kondapur, 3km away from cyber towers. Wifi AvailableAC Not AvailableFood Available+15 More Located in Kondapur, Hyderabad, ASHOK REDDY PG FOR MEN is modern and spacious PG home is close to major educational commercial hubs in the area. This male PG offers all the comforts like TV, AC, Food, Power Backup, Wi-Fi etc. The PG has strict adherence to hygiene standards and offers double, triple, four rooms. Please contact in case you are interested or queries. Looking forward to serving you.  Read More  View Phone No.  Contact Owner view on map",0.8 Km from World One School 1.6 Km from Kohinoor IT Park 2.7 Km from Miyapur Metro Station (Red Line)
543,SV VIHANG CO LIVING PG/Paying Guest,in TNGOS Colony,"#7,500 Onwards","Single Room #16,000  Twin Sharing #8,000  Triple Sharing #7,500","Coed#7,500 OnwardsBeds Available SV VIHANG CO LIVING PG/Paying Guest  in TNGOS Colony Single Room #16,000  Twin Sharing #8,000  Triple Sharing #7,500 AC charges are applicable seperately Wifi AvailableAC Not AvailableFood Not Available+15 More Move into SV VIHANG CO LIVING, a professionally managed PG home in the TNGOS Colony, Hyderabad. Located in a safe neighborhood, this unisex PG offers various modern amenities for your comfort, such as TV, Power Backup, Wi-Fi etc. This PG has single, double, triple occupancy types. This PG is nearby major commercial and educational hubs. Please contact the seller to book this fast selling high in demand PG stay.  Read More  View Phone No.  Contact Owner view on map",0.9 Km from Isb (Indian School Of Business) 2.1 Km from Mantri Cosmos 4.4 Km from Raidurg Metro Station
544,TECHIES ELITE CO-LIVING PG/Paying Guest,"in Hafeezpet, NH 9","#9,500 Onwards","Single Room With AC #26,000  Twin Sharing With AC #15,500  Triple Sharing With AC #12,500  Four Sharing With AC #9,500","Coed#9,500 OnwardsFood IncludedBeds Available TECHIES ELITE CO-LIVING PG/Paying Guest  in Hafeezpet, NH 9 Single Room With AC #26,000  Twin Sharing With AC #15,500  Triple Sharing With AC #12,500  Four Sharing With AC #9,500 3 times food, laundry service, ac rooms, refrigerator, washing machine, Wifi AvailableAC AvailableFood Available+16 More Move into TECHIES ELITE CO-LIVING PG, a professionally managed PG home in the Kondapur, Hyderabad. Located in a safe neighborhood, this unisex PG offers various modern amenities for your comfort, such as TV, AC, Food, Power Backup, Wi-Fi etc. This PG has single, double, triple, four occupancy types. This PG is nearby major commercial and educational hubs. Please contact the seller to book this fast selling high in demand PG stay.  Read More  View Phone No.  Contact Owner view on map",1.2 Km from World One School 2.0 Km from Prasanna Agro And Pharma Industries Pvt Ltd 2.4 Km from Miyapur Metro Station (Red Line)
545,Trinity Co-Living PG/Paying Guest,in Madhapur,"#11,000 Onwards","Single Room #24,000  Twin Sharing #14,000  Triple Sharing #11,000","Coed#11,000 OnwardsFood IncludedBeds Available Trinity Co-Living PG/Paying Guest  in Madhapur Single Room #24,000  Twin Sharing #14,000  Triple Sharing #11,000 Very Hygienic PG .Good locality Daily Wise ( per day 1300)weekly wise monthly wise rooms also available Wifi AvailableAC Not AvailableFood Available+17 More Located in Madhapur, Hyderabad, Trinity Co-Living PG is modern and spacious PG home is close to major educational commercial hubs in the area. This unisex PG offers all the comforts like TV, Food, Power Backup, Wi-Fi etc. The PG has strict adherence to hygiene standards and offers single, double, triple rooms. Please contact in case you are interested or queries. Looking forward to serving you.  Read More  View Phone No.  Contact Owner view on map",0.1 Km from Oslers Academy 0.6 Km from Avyas Tech Park Nisum Technology 1.0 Km from Hitech Metro Station
546,Eswar Grand Man's and Women's PG/Paying Guest,in Anjaiah Nagar Gachibowli,"#6,500 Onwards","Single Room #17,000  Twin Sharing #10,000  Triple Sharing #8,000  Four Sharing #6,500","Coed#6,500 OnwardsFood IncludedBeds Available 3.7 /5Overall Rating 3.7 /5 ( 3 Ratings & 1 Reviews )  Location  4.0 /5 Staff Behavior  3.7 /5 Food  3.7 /5 Cleanliness  3.7 /5 Wi-Fi Speed  4.0 /5Read Reviews Eswar Grand Man's and Women's PG/Paying Guest  in Anjaiah Nagar Gachibowli Single Room #17,000  Twin Sharing #10,000  Triple Sharing #8,000  Four Sharing #6,500  Move into Eswar Grand Co-Living PG, a professionally managed PG home in Anjaiah Nagar, Hyderabad. Located in a safe neighborhood, this unisex PG offers various modern amenities for your comfort, such as TV, Food, Wi-Fi, etc. This PG has Single, Double, Triple, and Four occupancy types. This PG is near major commercial and educational hubs. Please contact the seller to book this fast selling high in demand PG stay.  Read More  View Phone No.  Contact Owner view on map",1.4 Km from Dr.K.S.Rao's IAS Academy 0.6 Km from Avance Business Hub 1.4 Km from Raidurg Metro Station
547,SRIKARA MENS PG/Paying Guest AND HOSTEL,in Madhapur,"#7,500 Onwards","Single Room #15,000  Twin Sharing #10,500  Triple Sharing #8,500  Four Sharing #7,500","Boys#7,500 OnwardsFood IncludedBeds Available SRIKARA MENS PG/Paying Guest AND HOSTEL  in Madhapur Single Room #15,000  Twin Sharing #10,500  Triple Sharing #8,500  Four Sharing #7,500 Both South Indian and north indian available Wifi AvailableAC Not AvailableFood Available+16 More Located in Madhapur, Hyderabad, SRIKARA MENS PG AND HOSTEL is modern and spacious PG home is close to major educational commercial hubs in the area. This male PG offers all the comforts like Food, Power Backup, Wi-Fi, TV etc. The PG has strict adherence to hygiene standards and offers single, double, triple, four rooms. Please contact in case you are interested or queries. Looking forward to serving you.  Read More  View Phone No.  Contact Owner view on map",0.0 Km from Oslers Academy 0.5 Km from Avyas Tech Park Nisum Technology 0.9 Km from Hitech City Metro Station (Blue Line)
548,COZY EXECUTIVE WOMEN'S PG/Paying Guest,in Gachibowli,"#7,500 Onwards","Single Room With AC #18,000  Twin Sharing With AC #10,000  Triple Sharing With AC #8,500  Four Sharing With AC #7,500","Girls#7,500 OnwardsFood IncludedBeds Available COZY EXECUTIVE WOMEN'S PG/Paying Guest  in Gachibowli Single Room With AC #18,000  Twin Sharing With AC #10,000  Triple Sharing With AC #8,500  Four Sharing With AC #7,500 AC prices are additional.PG is located in Gachibowli near Deloitee , DLF , Wipro , Amazon. Wifi AvailableAC AvailableFood Available+15 More Located in Gachibowli, Hyderabad, COZY EXECUTIVE WOMEN S PG is modern and spacious PG home is close to major educational commercial hubs in the area. This female PG offers all the comforts like TV, AC, Food, Power Backup, Wi-Fi etc. The PG has strict adherence to hygiene standards and offers single, double, triple, four rooms. Please contact in case you are interested or queries. Looking forward to serving you.  Read More  View Phone No.  Contact Owner view on map",0.8 Km from Sri Vijaya Bharathi High School 0.5 Km from Meenakshi Tech Park 1.2 Km from Raidurg Metro Station
549,TechNest Coliving PG/Paying Guest,in Hitech City,"#10,000 Onwards","Single Room #20,000  Twin Sharing #14,000  Triple Sharing #10,000","Coed#10,000 OnwardsFood IncludedBeds Available 5.0 /5Overall Rating 5.0 /5 ( 1 Ratings )  Location  5.0 /5 Staff Behavior  5.0 /5 Food  5.0 /5 Cleanliness  5.0 /5 Wi-Fi Speed  5.0 /5 TechNest Coliving PG/Paying Guest  in Hitech City Single Room #20,000  Twin Sharing #14,000  Triple Sharing #10,000 AC charges are applicable separately Wifi AvailableAC Not AvailableFood Available+17 More Move into Tech Nest Co Living PG, A professionally managed PG home in the Hitech City, Hyderabad. Located in a safe neighborhood, This unisex PG offers various modern amenities for your comfort, Such as TV, Food, Power backup, Wi-Fi etc. This PG has Single, Double, Triple occupancy types. This PG is nearby major Commercial and Educational hubs. Please contact the seller to book this fast selling high in demand PG stay.  Read More  View Phone No.  Contact Owner view on map",0.9 Km from Sri Venkateshwara Group Of Colleges 0.0 Km from Aponline 0.6 Km from Raidurg Metro Station
550,Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive,in Gachibowli,"#7,000 Onwards","Single Room #19,000  Twin Sharing #10,000  Triple Sharing #8,000  Four Sharing #7,000","Coed#7,000 OnwardsFood IncludedBeds Available Laxmi Kalavathi Grand Mens PG/Paying Guest and CoLive  in Gachibowli Single Room #19,000  Twin Sharing #10,000  Triple Sharing #8,000  Four Sharing #7,000 Our PG is located in prime location of Gachibowli near DLF , Wipro ,Deloitte , AIG Hospital Wifi AvailableAC Not AvailableFood Available+15 More Located in Gachibowli, Hyderabad, Laxmi Kalavathi Grand Mens PG and CoLive is modern and spacious PG home is close to major educational commercial hubs in the area. This unisex PG offers all the comforts like TV, Food, Power Backup, Wi-Fi etc. The PG has strict adherence to hygiene standards and offers single, double, triple, four rooms. Please contact in case you are interested or queries. Looking forward to serving you.  Read More  View Phone No.  Contact Owner view on map",1.1 Km from Sri Gautham Grammar High School 0.4 Km from Tablespace Technologies Pvt Ltd 1.6 Km from Raidurg Metro Station
